PCON24CD,Seat,Region,mean_Con,mean_Lab,mean_LDem,mean_Green,mean_Reform,mean_Plaid,mean_SNP,mean_Other,lo_Con,lo_Lab,lo_LDem,lo_Green,lo_Reform,lo_Plaid,lo_SNP,lo_Other,hi_Con,hi_Lab,hi_LDem,hi_Green,hi_Reform,hi_Plaid,hi_SNP,hi_Other
E14001256,Great Yarmouth,East of England, 26.99 , 32.74 , 2.60 , 8.31 , 26.57 , -   , -   , 2.79 , 20.48 , 24.67 , 0.67 , 2.88 , 16.57 , -   , -   , 0.58 , 33.39 , 41.29 , 6.27 , 16.19 , 38.14 , -   , -   , 6.95 
E14001257,Greenwich and Woolwich,London, 14.00 , 57.97 , 8.64 , 8.27 , 6.80 , -   , -   , 4.33 , 10.48 , 46.30 , 2.55 , 1.96 , 2.91 , -   , -   , 0.97 , 18.38 , 68.92 , 18.00 , 18.03 , 12.78 , -   , -   , 11.00 
E14001258,Guildford,South East, 25.02 , 14.27 , 46.31 , 3.43 , 9.98 , -   , -   , 0.99 , 20.10 , 10.09 , 38.66 , 1.23 , 5.93 , -   , -   , 0.23 , 30.52 , 19.18 , 54.02 , 6.95 , 14.82 , -   , -   , 2.53 
E14001259,Hackney North and Stoke Newington,London, 9.53 , 62.63 , 8.74 , 6.94 , 8.38 , -   , -   , 3.77 , 6.77 , 51.66 , 2.91 , 2.03 , 3.47 , -   , -   , 0.65 , 12.76 , 72.60 , 17.06 , 16.32 , 15.79 , -   , -   , 10.56 
E14001260,Hackney South and Shoreditch,London, 7.49 , 56.63 , 8.53 , 15.40 , 7.42 , -   , -   , 4.53 , 5.43 , 46.09 , 3.47 , 7.42 , 3.49 , -   , -   , 1.21 , 9.85 , 66.44 , 16.47 , 25.72 , 12.60 , -   , -   , 10.72 
E14001261,Halesowen,West Midlands, 30.91 , 53.35 , 2.64 , 2.23 , 10.88 , -   , -   , -   , 23.70 , 44.53 , 0.55 , 0.35 , 5.26 , -   , -   , -   , 38.09 , 62.49 , 7.06 , 7.29 , 18.15 , -   , -   , -   
E14001262,Halifax,Yorkshire and The Humber, 17.18 , 54.96 , 2.59 , 6.37 , 16.51 , -   , -   , 2.38 , 13.07 , 45.84 , 0.65 , 1.85 , 9.26 , -   , -   , 0.47 , 22.13 , 63.16 , 6.08 , 14.07 , 26.15 , -   , -   , 6.46 
E14001263,Hamble Valley,South East, 34.42 , 31.45 , 21.32 , 3.85 , 8.10 , -   , -   , 0.86 , 28.05 , 21.63 , 10.35 , 0.55 , 3.81 , -   , -   , 0.18 , 42.08 , 40.99 , 33.82 , 10.47 , 14.40 , -   , -   , 2.53 
E14001264,Hammersmith and Chiswick,London, 19.41 , 56.24 , 8.24 , 4.78 , 7.57 , -   , -   , 3.76 , 15.22 , 45.19 , 2.62 , 0.92 , 3.52 , -   , -   , 0.91 , 24.39 , 65.69 , 17.14 , 11.61 , 13.47 , -   , -   , 9.20 
E14001265,Hampstead and Highgate,London, 15.87 , 44.72 , 22.76 , 9.15 , 4.59 , -   , -   , 2.90 , 11.26 , 31.74 , 13.06 , 2.68 , 1.77 , -   , -   , 0.57 , 21.03 , 56.63 , 35.43 , 21.07 , 9.47 , -   , -   , 7.56 
