2019 MP + Result,Constituency + Forecast,,,Code,Region,,CON,LAB,LDM,RFM,GRN,SNP,PLC,OTH,Tot,,Maj,Maj,,21.0%,40.9%,11.5%,15.9%,6.1%,3.5%,1.1%,,Result,,GE2019 RESULTS,,,,,,,,Tot,Vote Share Change,,,,,,,
James Grundy,CON,LAB,Leigh and Atherton,E14001329,North West,,15.0%,52.2%,3.6%,24.5%,4.1%,,,0.6%,LAB,,27.7%,"12,279",,"6,654","23,111","1,613","10,833","1,813",0,266,,LAB GAIN,x,43.8%,43.2%,4.6%,5.8%,0.4%,0.0%,0.0%,2.3%,CON,-29.0%,+9.3%,-0.7%,+18.2%,+3.9%,,,-1.7%
Maria Caulfield,CON,LDM,Lewes,E14001330,South East,,20.0%,9.5%,47.7%,18.0%,4.3%,,,0.4%,LDM,,27.7%,"15,393",,"11,127","5,297","26,520","10,014","2,414",0,195,,LDM GAIN,x,48.5%,7.1%,41.1%,0.2%,2.9%,0.0%,0.0%,0.2%,CON,-28.8%,+2.5%,+7.4%,+17.3%,+1.6%,,,+0.2%
Janet Daby,LAB,LAB,Lewisham East,E14001331,Greater London,,9.7%,64.6%,6.5%,9.1%,9.1%,,,0.9%,LAB,,54.9%,"25,692",,"4,557","30,248","3,066","4,269","4,273",0,411,,LAB HOLD,,20.0%,62.7%,10.1%,2.6%,3.5%,0.0%,0.0%,1.1%,LAB,-10.4%,+1.9%,-3.3%,+6.3%,+5.8%,,,-0.2%
Vicky Foxcroft,LAB,LAB,Lewisham North,E14001332,Greater London,,6.3%,70.1%,5.1%,4.8%,12.9%,,,0.8%,LAB,,57.2%,"28,937",,"3,167","35,456","2,572","2,434","6,518",0,424,,LAB HOLD,,12.2%,69.4%,11.1%,1.6%,5.3%,0.0%,0.0%,0.4%,LAB,-6.1%,+0.5%,-5.8%,+3.1%,+7.9%,,,+0.4%
Ellie Reeves,LAB,LAB,Lewisham West and East Dulwich,E14001333,Greater London,,7.5%,66.4%,4.6%,5.7%,13.9%,,,2.0%,LAB,,52.5%,"24,271",,"3,471","30,671","2,103","2,656","6,400",0,906,,LAB HOLD,,14.5%,66.1%,9.9%,1.8%,7.3%,0.0%,0.0%,0.5%,LAB,-7.1%,+0.2%,-5.1%,+3.8%,+6.8%,,,+1.5%
John Cryer,LAB,LAB,Leyton and Wanstead,E14001334,Greater London,,9.8%,66.3%,5.5%,7.7%,9.7%,,,1.1%,LAB,,56.5%,"27,604",,"4,781","32,385","2,667","3,751","4,763",0,514,,LAB HOLD,,19.9%,63.1%,10.7%,1.7%,3.8%,0.0%,0.0%,0.9%,LAB,-10.2%,+3.2%,-5.0%,+5.7%,+6.1%,,,+0.2%
Michael Fabricant,CON,CON,Lichfield,E14001335,West Midlands,,33.8%,33.7%,7.9%,18.7%,5.4%,,,0.5%,CON,,0.1%,32,,"17,706","17,674","4,129","9,823","2,818",0,278,,LAB GAIN,,64.1%,21.0%,10.5%,0.0%,3.2%,0.0%,0.0%,1.1%,CON,-30.6%,+13.0%,-2.3%,+18.2%,+2.2%,,,-0.5%
Karl McCartney,CON,LAB,Lincoln,E14001336,East Midlands,,19.6%,51.6%,4.3%,18.6%,5.3%,,,0.7%,LAB,,32.0%,"16,231",,"9,899","26,130","2,168","9,393","2,662",0,378,,LAB GAIN,x,47.9%,41.0%,4.8%,2.1%,2.4%,0.0%,0.0%,1.8%,CON,-28.6%,+10.9%,-0.3%,+16.0%,+3.1%,,,-1.1%
Maria Eagle,LAB,LAB,Liverpool Garston,E14001337,North West,,4.1%,67.9%,7.2%,12.0%,6.7%,,,2.2%,LAB,,55.9%,"27,435",,"2,009","33,348","3,513","5,912","3,268",0,"1,069",,LAB HOLD,,11.7%,70.2%,9.9%,4.9%,2.7%,0.0%,0.0%,0.7%,LAB,-7.7%,-2.4%,-2.4%,+6.8%,+4.2%,,,+1.4%
Kim Johnson,LAB,LAB,Liverpool Riverside,E14001338,North West,,2.6%,78.7%,2.6%,6.2%,8.1%,,,1.8%,LAB,,70.6%,"29,947",,"1,087","33,389","1,108","2,639","3,442",0,779,,LAB HOLD,,7.8%,85.1%,2.2%,2.6%,2.4%,0.0%,0.0%,0.0%,LAB,-5.2%,-6.6%,+0.5%,+3.4%,+6.0%,,,+1.8%
Dan Carden,LAB,LAB,Liverpool Walton,E14001339,North West,,2.7%,79.1%,2.3%,9.9%,5.0%,,,0.9%,LAB,,69.2%,"32,199",,"1,272","36,801","1,090","4,602","2,349",0,438,,LAB HOLD,,9.9%,82.4%,2.3%,2.2%,1.8%,0.0%,0.0%,1.4%,LAB,-7.2%,-3.3%,+0.2%,+7.4%,+3.4%,,,-0.5%
Paula Barker,LAB,LAB,Liverpool Wavertree,E14001340,North West,,3.1%,70.0%,6.2%,7.8%,11.9%,,,0.9%,LAB,,58.1%,"29,885",,"1,579","36,027","3,201","4,030","6,141",0,482,,LAB HOLD,,9.6%,71.6%,8.0%,3.7%,6.2%,0.0%,0.0%,1.0%,LAB,-6.6%,-1.8%,-1.5%,+3.9%,+6.0%,,,0.0%
Ian Byrne,LAB,LAB,Liverpool West Derby,E14001341,North West,,3.0%,77.1%,2.8%,11.1%,4.9%,,,1.0%,LAB,,66.0%,"30,819",,"1,405","36,006","1,289","5,187","2,310",0,484,,LAB HOLD,,8.6%,77.9%,2.7%,4.9%,2.0%,0.0%,0.0%,3.9%,LAB,-5.7%,-0.7%,+0.2%,+5.9%,+3.2%,,,-2.9%
Jane Hunt,CON,LAB,Loughborough,E14001342,East Midlands,,21.7%,51.2%,5.6%,15.3%,5.9%,,,0.3%,LAB,,29.5%,"15,225",,"11,193","26,418","2,868","7,906","3,066",0,132,,LAB GAIN,,50.6%,38.8%,7.6%,0.0%,2.6%,0.0%,0.0%,0.5%,CON,-29.1%,+12.6%,-1.8%,+15.0%,+3.5%,,,-0.2%
Victoria Atkins,CON,CON,Louth and Horncastle,E14001343,East Midlands,,34.5%,26.3%,6.0%,28.9%,3.5%,,,0.9%,CON,C,5.6%,"2,874",,"17,585","13,380","3,063","14,711","1,787",0,444,,CON HOLD,,72.5%,17.7%,7.8%,0.0%,0.0%,0.0%,0.0%,2.1%,CON,-38.4%,+8.8%,-1.5%,+28.6%,+3.6%,,,-1.2%
Peter Aldous,CON,LAB,Lowestoft,E14001344,East of England,,27.1%,38.5%,4.1%,21.6%,8.4%,,,0.2%,LAB,,11.4%,"5,183",,"12,323","17,506","1,843","9,821","3,814",0,110,,LAB GAIN,,60.9%,28.2%,5.1%,0.0%,5.2%,0.0%,0.0%,0.5%,CON,-34.0%,+10.7%,-0.8%,+21.0%,+3.3%,,,-0.3%
Sarah Owen,LAB,LAB,Luton North,E14001345,East of England,,10.1%,60.4%,5.2%,17.0%,5.4%,,,1.8%,LAB,,43.4%,"19,358",,"4,509","26,958","2,327","7,600","2,424",0,801,,LAB HOLD,,34.3%,53.9%,4.6%,3.0%,1.9%,0.0%,0.0%,2.4%,LAB,-24.4%,+6.7%,+0.9%,+13.7%,+3.7%,,,-0.6%
Rachel Hopkins,LAB,LAB,Luton South and South Bedfordshire,E14001346,East of England,,13.2%,54.9%,5.7%,18.1%,6.4%,,,1.7%,LAB,,36.8%,"16,605",,"5,934","24,760","2,550","8,156","2,902",0,764,,LAB HOLD,,35.2%,48.7%,0.5%,3.3%,2.7%,0.0%,0.0%,9.7%,LAB,-22.0%,+6.2%,+5.8%,+14.3%,+3.9%,,,-8.0%
David Rutley,CON,LAB,Macclesfield,E14001347,North West,,22.7%,45.7%,7.2%,17.1%,6.9%,,,0.4%,LAB,,23.0%,"12,396",,"12,208","24,604","3,895","9,214","3,714",0,240,,LAB GAIN,,52.5%,32.6%,10.6%,0.0%,4.3%,0.0%,0.0%,0.0%,CON,-30.2%,+13.1%,-2.9%,+16.8%,+2.8%,,,+0.4%
Theresa May,CON,CON,Maidenhead,E14001348,South East,,35.8%,21.6%,32.2%,,7.5%,,,3.0%,CON,,3.6%,"1,804",,"18,201","10,990","16,398",0,"3,807",0,"1,513",,CON HOLD,,57.4%,15.0%,23.8%,0.0%,3.8%,0.0%,0.0%,0.0%,CON,-22.4%,+6.8%,+8.7%,0.0%,+4.0%,,,+2.9%
Helen Grant,CON,CON,Maidstone and Malling,E14001349,South East,,28.4%,27.3%,17.0%,19.2%,7.4%,,,0.7%,CON,,1.1%,566,,"13,905","13,338","8,310","9,375","3,634",0,332,,CON HOLD,,58.4%,18.4%,18.6%,0.0%,3.8%,0.0%,0.0%,0.7%,CON,-30.3%,+8.5%,-1.0%,+18.5%,+4.3%,,,0.0%
Yvonne Fovargue,LAB,LAB,Makerfield,E14001350,North West,,10.9%,53.4%,4.1%,25.6%,5.3%,,,0.7%,LAB,,27.8%,"12,509",,"4,929","24,086","1,866","11,577","2,379",0,309,,LAB HOLD,,34.3%,45.3%,4.8%,13.1%,2.6%,0.0%,0.0%,0.0%,LAB,-23.6%,+8.2%,-0.4%,+12.1%,+2.9%,,,+0.7%
John Whittingdale,CON,CON,Maldon,E14001351,East of England,,38.8%,21.0%,11.2%,23.3%,5.6%,,,0.1%,CON,,15.5%,"8,316",,"20,818","11,265","6,009","12,501","3,020",0,66,,CON HOLD,,72.2%,12.6%,11.7%,0.0%,3.5%,0.0%,0.0%,0.0%,CON,-33.8%,+8.6%,+0.1%,+22.7%,+2.3%,,,+0.1%
Lucy Powell,LAB,LAB,Manchester Central,E14001352,North West,,5.0%,67.5%,4.9%,13.2%,7.4%,,,2.0%,LAB,,54.3%,"21,985",,"2,011","27,344","1,988","5,360","2,992",0,822,,LAB HOLD,,21.0%,65.4%,6.1%,4.4%,2.9%,0.0%,0.0%,0.3%,LAB,-16.1%,+2.1%,-0.9%,+8.5%,+4.8%,,,+1.7%
Unknown (new seat),LAB,LAB,Manchester Rusholme,E14001353,North West,,3.8%,74.4%,,5.7%,13.9%,,,2.2%,LAB,,60.5%,"24,300",,"1,507","29,868",0,"2,308","5,568",0,902,,LAB HOLD,,9.1%,78.6%,4.0%,4.0%,4.3%,0.0%,0.0%,0.0%,LAB,-5.5%,-4.2%,-4.0%,+1.6%,+9.9%,,,+2.2%
Jeff Smith,LAB,LAB,Manchester Withington,E14001354,North West,,3.4%,69.1%,12.2%,5.8%,8.6%,,,1.0%,LAB,,56.9%,"28,335",,"1,678","34,401","6,066","2,869","4,275",0,483,,LAB HOLD,,11.3%,66.5%,15.7%,2.6%,4.1%,0.0%,0.0%,0.0%,LAB,-8.0%,+2.2%,-3.0%,+3.0%,+4.7%,,,+0.9%
Ben Bradley,CON,LAB,Mansfield,E14001355,East Midlands,,28.3%,39.5%,2.7%,24.8%,3.9%,,,0.8%,LAB,,11.2%,"5,327",,"13,517","18,845","1,303","11,845","1,842",0,368,,LAB GAIN,,64.3%,30.3%,3.3%,0.0%,0.0%,0.0%,0.0%,2.1%,CON,-36.1%,+9.5%,-0.4%,+24.4%,+4.0%,,,-1.3%
Unknown (new seat),CON,LDM,Melksham and Devizes,E14001356,South West,,29.8%,15.9%,33.6%,16.4%,4.2%,,,0.1%,LDM,,3.8%,"2,156",,"16,583","8,852","18,739","9,140","2,347",0,72,,LDM GAIN,,57.8%,12.0%,27.3%,0.0%,3.0%,0.0%,0.0%,0.0%,CON,-28.5%,+3.8%,+7.1%,+16.0%,+1.4%,,,+0.1%
Unknown (new seat),CON,LAB,Melton and Syston,E14001357,East Midlands,,28.7%,32.7%,6.3%,23.1%,8.8%,,,0.4%,LAB,,4.0%,"1,900",,"13,722","15,621","2,993","11,032","4,197",0,202,,LAB GAIN,,63.3%,23.5%,7.7%,0.0%,5.5%,0.0%,0.0%,0.0%,CON,-34.8%,+9.5%,-1.1%,+22.6%,+3.4%,,,+0.4%
Saqib Bhatti,CON,LAB,Meriden and Solihull East,E14001358,West Midlands,,32.7%,32.9%,10.8%,17.9%,5.6%,,,0.1%,LAB,,0.2%,72,,"15,977","16,049","5,254","8,744","2,716",0,62,,LAB GAIN,,62.4%,20.9%,13.6%,0.0%,3.2%,0.0%,0.0%,0.0%,CON,-30.3%,+12.4%,-2.1%,+17.5%,+2.4%,,,+0.1%
Nadine Dorries,CON,LAB,Mid Bedfordshire,E14001359,East of England,,28.9%,33.5%,12.6%,16.7%,6.1%,,,2.1%,LAB,,4.6%,"2,337",,"14,841","17,178","6,488","8,583","3,133",0,"1,077",,LAB GAIN,,60.5%,20.5%,12.5%,0.0%,3.9%,0.0%,0.0%,2.6%,CON,-32.3%,+13.1%,+0.3%,+17.1%,+2.5%,,,-0.6%
Greg Smith,CON,CON,Mid Buckinghamshire,E14001360,South East,,32.5%,20.8%,25.2%,16.1%,5.0%,,,0.4%,CON,,7.3%,"3,989",,"17,642","11,308","13,653","8,719","2,727",0,204,,CON HOLD,,61.5%,15.3%,19.7%,0.9%,2.7%,0.0%,0.0%,0.0%,CON,-29.9%,+5.3%,+6.7%,+14.6%,+2.9%,,,+0.4%
Unknown (new seat),CON,LAB,Mid Cheshire,E14001361,North West,,17.0%,53.1%,5.7%,19.6%,4.2%,,,0.5%,LAB,,33.5%,"15,686",,"7,948","24,875","2,689","9,189","1,958",0,230,,LAB GAIN,x,47.0%,41.6%,8.4%,1.1%,2.0%,0.0%,0.0%,0.0%,CON,-30.2%,+11.6%,-2.3%,+18.1%,+2.4%,,,+0.5%
Pauline Latham,CON,LAB,Mid Derbyshire,E14001362,East Midlands,,27.5%,38.4%,6.8%,20.0%,6.8%,,,0.5%,LAB,,10.9%,"5,616",,"14,197","19,813","3,508","10,293","3,517",0,254,,LAB GAIN,,59.6%,27.0%,9.6%,0.0%,3.9%,0.0%,0.0%,0.0%,CON,-32.3%,+11.7%,-2.5%,+19.5%,+3.1%,,,+0.5%
Michael Tomlinson,CON,CON,Mid Dorset and North Poole,E14001363,South West,,40.8%,12.8%,39.1%,,5.2%,,,2.0%,CON,,1.7%,958,,"22,408","7,056","21,450",0,"2,881",0,"1,106",,CON HOLD,,60.0%,7.3%,29.9%,0.0%,2.9%,0.0%,0.0%,0.0%,CON,-19.0%,+5.4%,+9.1%,0.0%,+2.4%,,,+2.0%
Edward Argar,CON,LAB,Mid Leicestershire,E14001364,East Midlands,,30.0%,37.0%,5.9%,19.9%,7.0%,,,0.1%,LAB,,7.0%,"3,877",,"16,579","20,456","3,273","10,986","3,864",0,67,,LAB GAIN,,62.2%,25.7%,8.0%,0.0%,4.1%,0.0%,0.0%,0.0%,CON,-32.4%,+11.7%,-1.8%,+19.4%,+3.0%,,,+0.1%
George Freeman,CON,CON,Mid Norfolk,E14001365,East of England,,33.1%,32.2%,8.9%,21.5%,4.0%,,,0.4%,CON,,0.9%,481,,"16,270","15,789","4,360","10,546","1,954",0,184,,CON HOLD,,64.4%,22.9%,10.4%,0.0%,0.3%,0.0%,0.0%,1.9%,CON,-31.5%,+9.5%,-1.0%,+20.9%,+3.7%,,,-1.5%
Mims Davies,CON,LDM,Mid Sussex,E14001366,South East,,23.3%,21.8%,33.7%,15.2%,5.6%,,,0.5%,LDM,,10.4%,"5,515",,"12,327","11,523","17,842","8,031","2,971",0,268,,LDM GAIN,,51.3%,18.0%,25.5%,0.0%,4.1%,0.0%,0.0%,1.1%,CON,-28.4%,+4.1%,+8.8%,+14.6%,+1.6%,,,-0.6%
Andy McDonald,LAB,LAB,Middlesbrough and Thornaby East,E14001367,North East,,7.1%,58.2%,3.9%,23.7%,4.8%,,,2.2%,LAB,,34.5%,"12,996",,"2,687","21,889","1,485","8,893","1,813",0,826,,LAB HOLD,,24.3%,54.0%,2.6%,6.2%,1.5%,0.0%,0.0%,11.4%,LAB,-17.4%,+4.4%,+1.6%,+17.1%,+3.5%,,,-9.2%
Simon Clarke,CON,LAB,Middlesbrough South and East Cleveland,E14001368,North East,,35.4%,50.6%,5.3%,,6.0%,,,2.7%,LAB,,15.2%,"6,825",,"15,935","22,760","2,373",0,"2,689",0,"1,233",,LAB GAIN,,57.9%,35.0%,4.1%,0.3%,2.2%,0.0%,0.0%,0.6%,CON,-22.8%,+15.8%,+1.4%,-0.3%,+3.9%,,,+2.0%
Iain Stewart,CON,LAB,Milton Keynes Central,E14001369,South East,,20.0%,51.4%,8.1%,14.3%,5.5%,,,0.8%,LAB,,31.4%,"16,542",,"10,516","27,058","4,239","7,523","2,891",0,395,,LAB GAIN,x,47.6%,38.1%,10.4%,0.0%,2.5%,0.0%,0.0%,1.4%,CON,-27.9%,+13.5%,-2.0%,+13.9%,+3.2%,,,-0.7%
Ben Everitt,CON,LAB,Milton Keynes North,E14001370,South East,,22.5%,48.4%,5.7%,17.1%,6.2%,,,0.1%,LAB,,25.9%,"12,487",,"10,869","23,356","2,753","8,253","3,012",0,62,,LAB GAIN,,51.6%,38.5%,6.7%,0.0%,3.1%,0.0%,0.0%,0.0%,CON,-29.4%,+10.0%,-0.7%,+16.7%,+3.3%,,,+0.1%
Siobhain McDonagh,LAB,LAB,Mitcham and Morden,E14001371,Greater London,,14.1%,61.6%,5.5%,11.1%,6.8%,,,1.0%,LAB,,47.5%,"24,533",,"7,289","31,822","2,843","5,710","3,499",0,498,,LAB HOLD,,26.7%,57.5%,10.8%,2.3%,2.3%,0.0%,0.0%,0.4%,LAB,-12.8%,+4.1%,-5.1%,+8.5%,+4.7%,,,+0.6%
David Morris,CON,LAB,Morecambe and Lunesdale,E14001372,North West,,23.4%,41.0%,10.6%,21.6%,3.1%,,,0.2%,LAB,,17.6%,"9,772",,"13,041","22,813","5,926","12,011","1,732",0,137,,LAB GAIN,,53.6%,28.1%,15.6%,0.4%,1.3%,0.0%,0.0%,1.0%,CON,-30.4%,+13.0%,-4.4%,+20.7%,+1.9%,,,-0.7%
Julian Lewis,CON,CON,New Forest East,E14001373,South East,,34.2%,23.3%,13.8%,20.1%,8.1%,,,0.5%,CON,,10.9%,"5,516",,"17,367","11,851","6,995","10,192","4,123",0,263,,CON HOLD,,64.5%,14.8%,14.6%,0.0%,4.8%,0.0%,0.0%,1.3%,CON,-30.8%,+8.1%,+0.3%,+19.8%,+3.4%,,,-0.8%
Desmond Swayne,CON,CON,New Forest West,E14001374,South East,,34.4%,20.8%,15.1%,18.0%,11.1%,,,0.6%,CON,,13.6%,"6,847",,"17,294","10,447","7,616","9,055","5,581",0,281,,CON HOLD,,63.8%,13.1%,15.3%,0.0%,7.7%,0.0%,0.0%,0.0%,CON,-29.8%,+7.8%,+0.4%,+17.4%,+3.6%,,,+0.6%
Robert Jenrick,CON,LAB,Newark,E14001375,East Midlands,,30.3%,34.6%,6.8%,22.4%,5.4%,,,0.5%,LAB,,4.3%,"2,386",,"16,785","19,171","3,756","12,384","3,004",0,270,,LAB GAIN,,63.1%,23.9%,9.6%,0.4%,3.1%,0.0%,0.0%,0.0%,CON,-33.0%,+11.0%,-2.4%,+21.6%,+2.4%,,,+0.4%
Laura Farris,CON,LDM,Newbury,E14001376,South East,,28.3%,11.2%,37.9%,16.4%,5.6%,,,0.7%,LDM,,9.6%,"4,909",,"14,409","5,702","19,317","8,360","2,878",0,335,,LDM GAIN,,55.1%,7.7%,32.6%,0.0%,4.0%,0.0%,0.0%,0.6%,CON,-26.9%,+3.3%,+5.5%,+16.1%,+2.0%,,,0.0%
Chi Onwurah,LAB,LAB,Newcastle upon Tyne Central and West,E14001377,North East,,6.6%,62.2%,3.5%,19.6%,6.9%,,,1.3%,LAB,,42.6%,"20,526",,"3,175","29,955","1,690","9,429","3,318",0,603,,LAB HOLD,,26.6%,59.3%,3.0%,8.2%,3.0%,0.0%,0.0%,0.0%,LAB,-20.2%,+3.1%,+0.8%,+11.1%,+4.1%,,,+1.2%
Nick Brown,LAB,LAB,Newcastle upon Tyne East and Wallsend,E14001378,North East,,5.3%,61.5%,7.3%,15.9%,8.6%,,,1.4%,LAB,,45.6%,"22,748",,"2,653","30,709","3,643","7,961","4,298",0,705,,LAB HOLD,,23.7%,59.3%,8.3%,4.9%,3.9%,0.0%,0.0%,0.0%,LAB,-18.5%,+2.2%,-0.7%,+10.8%,+5.0%,,,+1.3%
Catherine McKinnell,LAB,LAB,Newcastle upon Tyne North,E14001379,North East,,8.9%,54.7%,12.1%,15.5%,8.2%,,,0.6%,LAB,,39.2%,"21,220",,"4,834","29,609","6,580","8,389","4,452",0,300,,LAB HOLD,,31.8%,44.4%,14.0%,5.8%,4.1%,0.0%,0.0%,0.0%,LAB,-23.1%,+10.2%,-1.4%,+9.5%,+4.4%,,,+0.5%
Aaron Bell,CON,LAB,Newcastle-under-Lyme,E14001380,West Midlands,,24.7%,46.2%,4.8%,19.3%,4.7%,,,0.1%,LAB,,21.5%,"10,177",,"11,713","21,891","2,290","9,151","2,231",0,60,,LAB GAIN,,52.8%,35.4%,5.6%,4.1%,2.2%,0.0%,0.0%,0.0%,CON,-28.2%,+11.0%,-0.5%,+14.9%,+2.7%,,,+0.1%
Anne Marie Morris,CON,CON,Newton Abbot,E14001381,South West,,25.9%,21.8%,25.5%,21.2%,4.8%,,,0.8%,CON,,0.4%,212,,"13,574","11,434","13,363","11,112","2,497",0,403,,LDM GAIN,,55.6%,17.7%,22.3%,0.0%,2.9%,0.0%,0.0%,1.6%,CON,-30.0%,+4.0%,+4.0%,+20.7%,+2.0%,,,-0.8%
Paul Howell,CON,LAB,Newton Aycliffe and Spennymoor,E14001382,North East,,18.5%,48.8%,4.2%,24.5%,3.4%,,,0.6%,LAB,,24.3%,"10,537",,"8,024","21,144","1,836","10,607","1,467",0,272,,LAB GAIN,x,46.1%,38.3%,5.4%,7.8%,1.5%,0.0%,0.0%,0.9%,CON,-27.9%,+10.7%,-0.9%,+16.4%,+2.0%,,,-0.3%
Jon Trickett,LAB,LAB,Normanton and Hemsworth,E14001383,Yorkshire and the Humber,,11.1%,51.4%,4.4%,28.1%,4.6%,,,0.4%,LAB,,23.3%,"10,089",,"4,808","22,271","1,915","12,182","2,014",0,157,,LAB HOLD,x,31.4%,39.6%,4.2%,15.2%,1.8%,0.0%,0.0%,7.8%,LAB,-20.6%,+12.0%,+0.5%,+12.5%,+3.0%,,,-7.4%
Richard Fuller,CON,CON,North Bedfordshire,E14001384,East of England,,32.2%,30.4%,11.9%,20.0%,5.1%,,,0.4%,CON,,1.8%,988,,"18,090","17,102","6,667","11,210","2,854",0,248,,CON HOLD,,61.1%,19.1%,13.2%,0.2%,2.8%,0.0%,0.0%,3.6%,CON,-28.6%,+11.5%,-0.6%,+18.7%,+2.3%,,,-3.2%
Scott Mann,CON,LDM,North Cornwall,E14001385,South West,,27.9%,11.5%,36.8%,20.8%,2.3%,,,0.6%,LDM,,8.9%,"4,845",,"15,085","6,230","19,930","11,254","1,267",0,334,,LDM GAIN,,59.1%,9.6%,29.9%,0.0%,0.2%,0.0%,0.0%,1.3%,CON,-31.7%,+1.9%,+7.9%,+20.3%,+2.2%,,,-0.6%
Unknown (new seat),CON,CON,North Cotswolds,E14001386,South West,,29.6%,22.3%,20.1%,18.6%,8.9%,,,0.5%,CON,,7.3%,"3,744",,"15,049","11,305","10,210","9,442","4,513",0,257,,CON HOLD,,59.3%,16.5%,18.0%,0.3%,5.8%,0.0%,0.0%,0.0%,CON,-29.9%,+5.1%,+2.5%,+18.3%,+3.4%,,,+0.5%
Selaine Saxby,CON,LDM,North Devon,E14001387,South West,,25.6%,11.1%,36.8%,21.7%,4.1%,,,0.6%,LDM,,11.2%,"6,183",,"14,248","6,192","20,431","12,077","2,298",0,337,,LDM GAIN,,56.6%,9.2%,30.0%,0.0%,3.2%,0.0%,0.0%,1.0%,CON,-31.4%,+1.9%,+7.6%,+21.2%,+1.1%,,,-0.4%
Simon Hoare,CON,CON,North Dorset,E14001388,South West,,34.8%,16.4%,24.9%,17.6%,6.0%,,,0.3%,CON,,9.9%,"5,245",,"18,569","8,749","13,324","9,416","3,199",0,175,,CON HOLD,,63.8%,11.9%,20.4%,0.0%,4.0%,0.0%,0.0%,0.0%,CON,-29.5%,+4.1%,+5.8%,+17.0%,+2.3%,,,+0.3%
Kevan Jones,LAB,LAB,North Durham,E14001389,North East,,10.5%,51.8%,6.2%,25.0%,5.3%,,,1.2%,LAB,,26.8%,"12,790",,"5,011","24,757","2,940","11,966","2,548",0,571,,LAB HOLD,x,34.4%,43.7%,6.4%,10.7%,2.6%,0.0%,0.0%,2.2%,LAB,-24.2%,+8.2%,+0.1%,+14.1%,+2.9%,,,-1.1%
Steve Barclay,CON,CON,North East Cambridgeshire,E14001390,East of England,,38.1%,25.6%,6.5%,23.6%,5.7%,,,0.5%,CON,C,12.5%,"5,577",,"16,975","11,398","2,919","10,534","2,553",0,228,,CON HOLD,,73.9%,16.1%,6.7%,0.0%,3.4%,0.0%,0.0%,0.0%,CON,-35.9%,+9.7%,+0.2%,+22.9%,+2.5%,,,+0.6%
Lee Rowley,CON,LAB,North East Derbyshire,E14001391,East Midlands,,27.4%,41.3%,4.7%,21.3%,4.9%,,,0.4%,LAB,,13.9%,"6,898",,"13,563","20,461","2,304","10,526","2,425",0,205,,LAB GAIN,,58.4%,32.3%,6.1%,0.5%,2.7%,0.0%,0.0%,0.0%,CON,-30.6%,+8.5%,-1.2%,+20.3%,+2.5%,,,+0.4%
Ranil Jayawardena,CON,CON,North East Hampshire,E14001392,South East,,33.2%,14.2%,27.7%,19.5%,4.5%,,,0.9%,CON,,5.5%,"3,105",,"18,835","8,041","15,730","11,060","2,571",0,501,,CON HOLD,,61.9%,10.2%,22.4%,0.0%,3.0%,0.0%,0.0%,2.5%,CON,-28.9%,+3.1%,+6.6%,+19.0%,+1.8%,,,-1.6%
Oliver Heald,CON,LAB,North East Hertfordshire,E14001393,East of England,,27.0%,36.7%,12.3%,16.7%,7.2%,,,0.1%,LAB,,9.7%,"5,380",,"14,913","20,294","6,810","9,247","3,998",0,70,,LAB GAIN,,56.6%,23.7%,15.5%,0.0%,4.3%,0.0%,0.0%,0.0%,CON,-30.0%,+13.1%,-2.6%,+16.3%,+3.1%,,,+0.1%
Jacob Rees-Mogg,CON,LAB,North East Somerset and Hanham,E14001394,South West,,26.9%,41.2%,9.9%,16.7%,4.6%,,,0.7%,LAB,,14.3%,"8,211",,"15,471","23,681","5,676","9,613","2,621",0,404,,LAB GAIN,,54.7%,26.2%,15.0%,0.0%,2.4%,0.0%,0.0%,1.7%,CON,-28.4%,+15.1%,-4.6%,+16.5%,+2.3%,,,-1.0%
Bill Wiggin,CON,GRN,North Herefordshire,E14001395,West Midlands,,28.1%,15.6%,8.0%,18.4%,29.0%,,,0.8%,GRN,,0.9%,473,,"15,318","8,518","4,374","10,002","15,791",0,443,,GRN GAIN,,62.5%,15.2%,13.5%,0.0%,8.8%,0.0%,0.0%,0.0%,CON,-34.9%,-0.4%,-5.4%,+17.9%,+22.1%,,,+0.7%
Duncan Baker,CON,LDM,North Norfolk,E14001396,East of England,,30.3%,9.2%,37.2%,21.1%,2.1%,,,0.1%,LDM,,6.9%,"3,511",,"15,645","4,752","19,157","10,854","1,081",0,65,,LDM GAIN,,58.5%,7.7%,30.4%,3.4%,0.1%,0.0%,0.0%,0.0%,CON,-27.9%,+1.5%,+7.2%,+16.9%,+2.1%,,,+0.1%
Anne-Marie Trevelyan,CON,LAB,North Northumberland,E14001397,North East,,24.9%,35.0%,12.6%,21.8%,5.3%,,,0.3%,LAB,,10.1%,"5,312",,"13,157","18,469","6,649","11,513","2,804",0,145,,LAB GAIN,,55.9%,23.1%,16.1%,1.5%,3.4%,0.0%,0.0%,0.0%,CON,-31.4%,+11.9%,-2.9%,+20.0%,+2.0%,,,+0.2%
