2019 MP + Result,Constituency + Forecast,,,Code,Region,,CON,LAB,LDM,RFM,GRN,SNP,PLC,OTH,Tot,,Maj,Maj,,21.0%,40.9%,11.5%,15.9%,6.1%,3.5%,1.1%,,Result,,GE2019 RESULTS,,,,,,,,Tot,Vote Share Change,,,,,,,
Unknown (changed seat),LAB,LAB,Blaydon and Consett,E14001106,North East,,10.8%,52.7%,4.8%,25.1%,6.0%,,,0.6%,LAB,,27.6%,"12,979",,"5,057","24,749","2,238","11,770","2,829",0,296,,LAB HOLD,x,34.9%,44.0%,4.6%,9.7%,3.0%,0.0%,0.0%,3.9%,LAB,-24.3%,+8.9%,+0.5%,+15.1%,+3.2%,,,-3.3%
Ian Lavery,LAB,LAB,Blyth and Ashington,E14001107,North East,,8.6%,57.0%,5.0%,23.8%,5.5%,,,0.1%,LAB,,33.2%,"14,263",,"3,704","24,497","2,151","10,233","2,371",0,51,,LAB HOLD,,33.5%,47.7%,6.4%,9.1%,2.9%,0.0%,0.0%,0.4%,LAB,-25.0%,+9.4%,-1.1%,+14.3%,+2.8%,,,-0.3%
Nick Gibb,CON,LAB,Bognor Regis and Littlehampton,E14001108,South East,,30.2%,31.0%,9.8%,22.3%,5.8%,,,0.9%,LAB,,0.8%,458,,"15,834","16,292","5,167","11,708","3,037",0,465,,LAB GAIN,,62.2%,19.0%,13.3%,0.0%,3.3%,0.0%,0.0%,2.3%,CON,-32.2%,+12.3%,-3.0%,+21.7%,+2.6%,,,-1.4%
Mark Fletcher,CON,LAB,Bolsover,E14001109,East Midlands,,20.8%,45.7%,3.4%,26.1%,3.7%,,,0.4%,LAB,,19.6%,"8,915",,"9,495","20,864","1,532","11,950","1,696",0,167,,LAB GAIN,,47.7%,36.2%,3.8%,8.6%,1.6%,0.0%,0.0%,2.2%,CON,-27.1%,+9.8%,-0.3%,+17.1%,+2.3%,,,-1.8%
Mark Logan,CON,LAB,Bolton North East,E14001110,North West,,18.9%,51.8%,3.7%,21.1%,3.9%,,,0.6%,LAB,,30.7%,"15,320",,"9,411","25,831","1,826","10,510","1,949",0,305,,LAB GAIN,x,45.0%,42.5%,4.4%,6.5%,1.6%,0.0%,0.0%,0.0%,CON,-26.1%,+9.2%,-0.4%,+14.1%,+2.5%,,,+0.6%
Yasmin Qureshi,LAB,LAB,Bolton South and Walkden,E14001111,North West,,8.0%,61.2%,3.7%,20.5%,5.7%,,,1.0%,LAB,,40.7%,"17,937",,"3,511","26,938","1,607","9,001","2,489",0,445,,LAB HOLD,,31.7%,56.6%,3.9%,5.4%,2.5%,0.0%,0.0%,0.0%,LAB,-23.7%,+4.2%,0.0%,+14.8%,+3.8%,,,+0.9%
Chris Green,CON,LAB,Bolton West,E14001112,North West,,24.6%,44.3%,4.9%,21.7%,3.8%,,,0.6%,LAB,,19.7%,"9,825",,"12,277","22,101","2,449","10,836","1,878",0,297,,LAB GAIN,,56.5%,35.3%,5.6%,0.8%,1.8%,0.0%,0.0%,0.0%,CON,-32.1%,+9.4%,-0.5%,+20.6%,+2.1%,,,+0.6%
Peter Dowd,LAB,LAB,Bootle,E14001113,North West,,3.0%,76.3%,3.1%,10.6%,6.6%,,,0.4%,LAB,,65.7%,"32,290",,"1,479","37,507","1,514","5,218","3,246",0,213,,LAB HOLD,,9.2%,79.4%,3.7%,5.3%,2.4%,0.0%,0.0%,0.0%,LAB,-6.2%,-3.2%,-0.5%,+5.0%,+4.5%,,,+0.4%
Matt Warman,CON,RFM,Boston and Skegness,E14001114,East Midlands,,33.5%,23.3%,4.5%,34.0%,3.6%,,,1.1%,RFM,,0.5%,211,,"15,104","10,476","2,017","15,315","1,602",0,516,,CON HOLD,,76.4%,15.6%,4.8%,0.0%,0.0%,0.0%,0.0%,3.2%,CON,-42.9%,+8.0%,-0.1%,+33.5%,+3.7%,,,-2.1%
Tobias Ellwood,CON,LAB,Bournemouth East,E14001115,South West,,21.8%,44.1%,8.9%,17.1%,7.4%,,,0.8%,LAB,,22.3%,"11,003",,"10,730","21,733","4,411","8,412","3,652",0,381,,LAB GAIN,,50.6%,32.7%,11.0%,0.0%,4.2%,0.0%,0.0%,1.5%,CON,-29.1%,+11.5%,-1.6%,+16.7%,+3.4%,,,-0.8%
Conor Burns,CON,LAB,Bournemouth West,E14001116,South West,,23.6%,42.6%,7.9%,16.9%,8.6%,,,0.4%,LAB,,19.0%,"8,729",,"10,784","19,513","3,639","7,757","3,925",0,162,,LAB GAIN,,53.6%,31.9%,10.1%,0.0%,4.5%,0.0%,0.0%,0.0%,CON,-30.3%,+10.9%,-1.7%,+16.5%,+4.2%,,,+0.4%
James Sunderland,CON,LAB,Bracknell,E14001117,South East,,26.8%,39.0%,10.1%,16.5%,7.0%,,,0.6%,LAB,,12.2%,"5,723",,"12,553","18,276","4,739","7,731","3,270",0,286,,LAB GAIN,,55.5%,25.4%,14.0%,0.0%,4.0%,0.0%,0.0%,1.2%,CON,-28.9%,+13.7%,-3.4%,+16.0%,+3.2%,,,-0.6%
Imran Hussain,LAB,LAB,Bradford East,E14001118,Yorkshire and the Humber,,6.2%,63.0%,6.9%,16.1%,5.3%,,,2.4%,LAB,,46.9%,"20,169",,"2,673","27,102","2,981","6,934","2,297",0,"1,014",,LAB HOLD,,21.7%,63.0%,7.7%,6.2%,1.5%,0.0%,0.0%,0.0%,LAB,-15.7%,+0.1%,-0.4%,+9.6%,+4.1%,,,+2.4%
Judith Cummins,LAB,LAB,Bradford South,E14001119,Yorkshire and the Humber,,12.9%,52.7%,3.7%,24.1%,5.8%,,,0.8%,LAB,,28.6%,"11,697",,"5,284","21,552","1,525","9,855","2,366",0,321,,LAB HOLD,x,40.1%,46.7%,3.7%,7.0%,2.5%,0.0%,0.0%,0.0%,LAB,-27.3%,+6.2%,+0.3%,+16.6%,+3.5%,,,+0.8%
Naz Shah,LAB,LAB,Bradford West,E14001120,Yorkshire and the Humber,,5.1%,71.6%,3.3%,9.8%,6.2%,,,4.1%,LAB,,61.8%,"27,338",,"2,247","31,662","1,454","4,324","2,742",0,"1,823",,LAB HOLD,,15.2%,76.2%,3.1%,3.5%,1.8%,0.0%,0.0%,0.2%,LAB,-10.3%,-4.6%,+0.4%,+6.0%,+4.6%,,,+3.9%
James Cleverly,CON,CON,Braintree,E14001121,East of England,,35.6%,28.6%,8.6%,22.3%,4.1%,,,0.8%,CON,C,7.0%,"3,588",,"18,375","14,787","4,437","11,533","2,123",0,422,,CON HOLD,,67.5%,18.2%,9.7%,0.0%,0.5%,0.0%,0.0%,4.2%,CON,-31.9%,+10.3%,-0.7%,+21.7%,+3.8%,,,-3.4%
Dawn Butler,LAB,LAB,Brent East,E14001122,Greater London,,11.0%,66.5%,4.8%,8.9%,8.0%,,,0.9%,LAB,,55.5%,"24,428",,"4,824","29,253","2,109","3,919","3,515",0,391,,LAB HOLD,,23.5%,63.8%,9.0%,0.4%,3.2%,0.0%,0.0%,0.0%,LAB,-12.7%,+2.7%,-4.0%,+8.3%,+4.9%,,,+0.9%
